,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
IDX,,Folder,Name,Nuevo Nombre,,marco,herreria,tulle,tulle deslavado,tulle natural,tulle natural decorado,,,,,
29,"{""folder"": """,29,""", ""name"": """,TN3-110-a.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
30,"{""folder"": """,30,""", ""name"": """,TN3-118-a.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
31,"{""folder"": """,31,""", ""name"": """,TN3-118-b.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
32,"{""folder"": """,32,""", ""name"": """,TN3-119-a.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
33,"{""folder"": """,33,""", ""name"": """,TN3-119-b.jpg,""", ""categories"": """,marco,herreria,tulle,,tulle natural,,,,,,"""},"
34,"{""folder"": """,34,""", ""name"": """,TND3-120-a.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
35,"{""folder"": """,35,""", ""name"": """,TND3-120-b.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
36,"{""folder"": """,36,""", ""name"": """,TND3-121-a.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
37,"{""folder"": """,37,""", ""name"": """,TND3-121-b.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
38,"{""folder"": """,38,""", ""name"": """,TND3-122-a.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
39,"{""folder"": """,39,""", ""name"": """,TND3-122-b.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
40,"{""folder"": """,40,""", ""name"": """,TND3-123-a.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
41,"{""folder"": """,41,""", ""name"": """,TND3-123-b.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
42,"{""folder"": """,42,""", ""name"": """,TND3-124-a.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
43,"{""folder"": """,43,""", ""name"": """,TND3-124-b.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
44,"{""folder"": """,44,""", ""name"": """,TND3-125-a.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
45,"{""folder"": """,45,""", ""name"": """,TND3-125-b.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
46,"{""folder"": """,46,""", ""name"": """,TND3-126-a.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
47,"{""folder"": """,47,""", ""name"": """,TND3-126-b.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
48,"{""folder"": """,48,""", ""name"": """,TND3-127-a.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
49,"{""folder"": """,49,""", ""name"": """,TND3-127-b.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
50,"{""folder"": """,50,""", ""name"": """,TND3-128-a.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
51,"{""folder"": """,51,""", ""name"": """,TND3-129-a.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
52,"{""folder"": """,52,""", ""name"": """,TND3-130-a.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
53,"{""folder"": """,53,""", ""name"": """,TND3-130-b.jpg,""", ""categories"": """,marco,herreria,tulle,,,tulle natural decorado,,,,,"""},"
